customer_id,customer_name,customer_payment_type,customer_age,customer_region,customer_signup_date
301,Gurney Halleck,visa,28,Southeast,2024-01-15
302,Sevro au Barca,visa,34,Southeast,2023-11-03
303,Kendra Sorenson,visa,45,Northeast,2024-02-20
304,Stilgar Tabr,visa,31,South,2024-05-01
305,Finrod Felagund,mastercard,52,West,2023-09-18
306,Marcus Johnson,mastercard,24,Southeast,2023-12-02
307,Mustang au Augustus,mastercard,38,West,2022-07-14
308,Seth Sorenson,visa,29,Midwest,2023-03-08
309,Olivia Martinez,visa,42,South,2024-04-12
310,Beorn Fableheart,visa,56,Southeast,2021-10-27
311,Duncan Idaho,visa,33,Northeast,2022-05-19
312,Maedhros Feanor,visa,27,Midwest,2023-06-05
313,Vanessa Santoro,visa,36,West,2024-02-02
314,Piter De Vries,visa,48,Midwest,2021-08-11
315,Fingolfin Noldor,visa,22,West,2023-01-09
316,Ragnar Volarus,visa,41,West,2022-12-21
317,Bracken Daniels,visa,30,Midwest,2022-09-30
318,Lune Celestine,visa,25,Southeast,2024-03-25
319,Thufir Hawat,mastercard,53,South,2021-06-17
320,Cassius au Bellona,visa,37,West,2023-10-06
321,Liet Kynes,mastercard,44,West,2023-04-11
322,Taran Wanderer,mastercard,26,Southeast,2024-01-08
323,Victra au Julii,visa,32,West,2023-08-19
324,Warren Burgess,visa,39,Midwest,2022-11-14
325,Caranthir Feanor,ach,47,Northeast,2021-12-03
326,Chani Kynes,visa,23,West,2024-04-22
327,Ephraim ti Horn,visa,35,Midwest,2023-02-27
328,Patton Burgess,visa,29,Southeast,2023-07-16
329,Celebrimbor Smith,mastercard,51,Northeast,2022-03-09
330,Newel Dullwater,visa,33,Midwest,2024-03-01
331,Jadzia Venture,mastercard,32,Southeast,2021-10-13
332,Worf Halleck,mastercard,45,West,2021-03-07
333,Frodo Hawat,visa,56,Northeast,2021-02-24
334,Tris Blackthorn,ach,46,West,2024-04-21
335,Marsh Baggins,visa,35,Northeast,2021-11-15
336,Irulan Mellark,visa,24,Southeast,2023-01-06
337,Jasnah Stark,mastercard,47,Midwest,2024-01-04
338,Bard Snow,visa,57,Southeast,2023-01-11
339,Caleb Stormblessed,mastercard,32,Southeast,2022-08-16
340,Galadriel Cauthon,visa,47,Southeast,2024-07-25
341,Szeth Hasting,mastercard,60,Midwest,2022-07-01
342,Data Luccio,visa,64,Southeast,2022-05-17
343,Alexandar Picard,visa,62,South,2024-02-15
344,Feyd Luccio,visa,20,Midwest,2022-10-09
345,Nynaeve Trakand,visa,63,Southeast,2022-10-07
346,Irulan Murphy,visa,47,South,2021-10-20
347,Elend Cett,visa,55,Northeast,2023-05-28
348,Christina Wright,visa,50,Midwest,2023-10-08
349,Elrond Stormcrow,visa,28,Southeast,2024-10-25
350,Thom Rivers,visa,56,Southeast,2023-08-17
351,Finnick Mandragoran,visa,64,West,2021-08-23
352,Picard Windu,visa,36,Midwest,2023-06-10
353,Alexandar Riker,visa,29,Southeast,2023-11-06
354,Bilbo Baratheon,mastercard,41,Midwest,2021-11-27
355,Cinna Kenobi,visa,19,Southeast,2021-08-18
356,Szeth Molo,visa,54,Northeast,2021-06-11
357,Galadriel Nerys,visa,60,Southeast,2023-09-01
358,Effie Kholin,mastercard,52,Midwest,2024-11-13
359,Jessica Molo,visa,51,South,2023-07-14
360,Bard alVere,visa,19,Northeast,2024-04-19
361,Effie Cauthon,ach,22,West,2024-12-20
362,Dax Atreides,visa,39,Northeast,2021-05-26
363,Gale Aybara,visa,52,Midwest,2021-09-28
364,LaForge Morgenstern,mastercard,48,West,2023-04-14
365,Paul Idaho,mastercard,45,Southeast,2023-04-22
366,Petra Stormcrow,mastercard,64,Southeast,2022-11-26
367,Mace Halleck,visa,52,Northeast,2023-07-08
368,Virginia Pedrad,visa,33,Northeast,2021-06-04
369,Valentine Shadowhunter,visa,52,Southeast,2021-01-31
370,Elrond Aybara,visa,48,Northeast,2022-03-14
371,Nynaeve Atreides,visa,42,Northeast,2022-06-28
372,Obi Riker,mastercard,64,Midwest,2024-02-13
